,ADES FRUTAL FAMILIAR,ADES FRUTAL INDIVIDUAL,ADES LÁCTEO FAMILIAR,ADES LÁCTEO INDIVIDUAL,CAFÉ BLAK INDIVIDUAL,CIEL AGUA PURIFICADA FAMILIAR,CIEL AGUA PURIFICADA INDIVIDUAL,CIEL EXPRIM INDIVIDUAL,CIEL MINERALIZADA FAMILIAR,CIEL MINERALIZADA INDIVIDUAL,CIEL MINI INDIVIDUAL,COCA-COLA CAFÉ INDIVIDUAL,COCA-COLA ENERGY INDIVIDUAL,COCA-COLA FAMILIAR,COCA-COLA INDIVIDUAL,COCA-COLA LIGHT FAMILIAR,COCA-COLA LIGHT INDIVIDUAL,COCA-COLA LIGHT SIN CAFEINA INDIVIDUAL,COCA-COLA SIN AZÚCAR FAMILIAR,COCA-COLA SIN AZÚCAR INDIVIDUAL,DEL VALLE FAMILIAR,DEL VALLE INDIVIDUAL,DEL VALLE RESERVA FAMILIAR,DEL VALLE RESERVA INDIVIDUAL,DEL VALLE Y NADA FAMILIAR,DEL VALLE Y NADA INDIVIDUAL,DELAWARE PUNCH INDIVIDUAL,FANTA FAMILIAR,FANTA INDIVIDUAL,FRESCA FAMILIAR,FRESCA INDIVIDUAL,FRUTSI INDIVIDUAL,FUZE TEA INDIVIDUAL,GLACÉAU INDIVIDUAL,ISOLITE INDIVIDUAL,JOYA FAMILIAR,JOYA INDIVIDUAL,MANZANA LIFT FAMILIAR,MANZANA LIFT INDIVIDUAL,MIXTOS FAMILIAR,MIXTOS INDIVIDUAL,MONSTER ENERGY INDIVIDUAL,POWERADE INDIVIDUAL,PULPY INDIVIDUAL,SANTA CLARA DESLACTOSADA FAMILIAR,SANTA CLARA DESLACTOSADA LIGHT FAMILIAR,SANTA CLARA ENTERA FAMILIAR,SANTA CLARA LIGHT FAMILIAR,SANTA CLARA SABORIZADA FAMILIAR,SANTA CLARA SABORIZADA INDIVIDUAL,SANTA CLARA SEMIDESCREMADA FAMILIAR,SENZAO INDIVIDUAL,SIDRAL MUNDET FAMILIAR,SIDRAL MUNDET INDIVIDUAL,SIERRAZUL AGUA PURIFICADA FAMILIAR,SPRITE FAMILIAR,SPRITE INDIVIDUAL,SPRITE SIN AZÚCAR FAMILIAR,SPRITE SIN AZÚCAR INDIVIDUAL,TOPO CHICO A.M. FAMILIAR,TOPO CHICO A.M. INDIVIDUAL,TOPO CHICO INDIVIDUAL,TOPO CHICO SANGRIA LIGHT INDIVIDUAL,TOPO CHICO SANGRÍA FAMILIAR,TOPO CHICO SANGRÍA INDIVIDUAL,VALLE FRUT FAMILIAR,VALLE FRUT INDIVIDUAL
CIEL MINI INDIVIDUAL,2,2,1,0,0,5,13,13,2,1,0,2,0,23,32,18,34,2,16,30,5,27,8,4,3,7,3,22,16,23,21,10,30,7,1,9,16,0,0,26,28,23,32,25,2,1,4,2,0,3,0,0,19,10,2,12,23,0,3,25,31,0,1,6,19,28,38
COCA-COLA CAFÉ INDIVIDUAL,3,5,4,0,0,597,657,681,107,93,2,0,280,714,675,740,770,177,735,749,28,38,36,3,293,792,304,768,838,745,843,34,31,18,19,266,488,30,0,5,33,42,40,29,20,10,19,13,1,21,0,73,596,829,35,762,792,9,366,708,825,0,268,172,613,575,579
COCA-COLA ENERGY INDIVIDUAL,4,3,6,0,0,367,403,393,75,45,0,280,0,422,411,470,476,86,435,435,18,12,15,1,191,481,185,437,461,454,481,15,13,1,7,167,275,1,1,1,24,19,18,10,6,6,9,5,0,5,0,28,348,475,39,471,469,9,228,428,515,0,140,46,330,332,359
COCA-COLA FAMILIAR,26,49,21,1,0,912,1000,1065,77,102,23,714,422,0,682,912,1206,311,698,1140,45,457,88,8,310,1256,330,850,1404,651,1054,212,341,63,22,389,733,35,17,248,376,269,428,218,48,26,74,34,4,102,0,84,660,1210,114,716,1311,16,519,872,1132,8,432,259,1122,880,1203
COCA-COLA INDIVIDUAL,23,47,23,1,0,922,1011,1065,85,90,32,675,411,682,0,1066,1204,285,843,1152,66,472,86,12,356,1279,329,1005,1394,764,1076,234,376,66,20,444,615,27,13,264,374,275,483,249,53,25,86,42,0,95,0,91,779,1166,122,846,1235,16,460,972,1161,7,410,272,1168,989,1186
COCA-COLA LIGHT FAMILIAR,22,45,21,0,0,1100,1224,1230,114,139,18,740,470,912,1066,0,1366,344,1016,1326,78,286,106,9,453,1515,366,1215,1588,1124,1404,164,280,75,25,506,808,45,19,122,218,230,275,184,54,26,82,34,0,80,0,112,981,1454,112,1177,1563,25,573,1271,1371,2,508,344,1336,1107,1280
COCA-COLA LIGHT INDIVIDUAL,28,60,29,0,0,1173,1362,1403,120,132,34,770,476,1206,1204,1366,0,289,1204,1311,73,510,118,12,456,1579,403,1375,1691,1239,1543,252,477,105,28,558,903,42,16,300,425,341,511,286,64,26,102,38,0,107,1,123,1051,1504,158,1310,1649,21,582,1490,1630,9,448,376,1432,1289,1492
COCA-COLA LIGHT SIN CAFEINA INDIVIDUAL,0,0,1,0,0,383,261,271,3,8,2,177,86,311,285,344,289,0,328,312,1,5,1,0,22,406,8,318,421,356,378,4,8,5,0,366,353,39,8,2,20,4,8,3,1,1,2,2,0,1,0,9,93,354,39,355,384,0,193,290,340,0,379,75,490,283,359
COCA-COLA SIN AZÚCAR FAMILIAR,22,22,19,0,0,1022,1121,1131,97,131,16,735,435,698,843,1016,1204,328,0,1116,42,148,68,10,413,1479,329,1176,1516,973,1229,102,159,30,23,459,798,31,15,69,157,123,142,116,36,31,64,37,1,52,0,95,840,1288,121,1008,1358,26,547,1116,1167,2,488,344,1171,960,1135
COCA-COLA SIN AZÚCAR INDIVIDUAL,29,51,21,0,0,1156,1311,1313,104,143,30,749,435,1140,1152,1326,1311,312,1116,0,77,463,131,16,444,1567,413,1341,1777,1213,1492,233,393,96,30,611,851,45,20,278,362,309,487,246,77,28,104,43,2,123,0,120,996,1460,164,1263,1655,20,624,1419,1605,5,498,394,1358,1251,1440
DEL VALLE FAMILIAR,18,13,18,0,0,72,63,59,11,6,5,28,18,45,66,78,73,1,42,77,0,76,70,4,61,75,33,84,83,56,72,80,86,29,20,39,30,0,0,16,15,80,55,69,51,27,68,32,0,50,0,3,84,82,3,66,88,0,23,71,68,0,2,10,67,78,83
DEL VALLE INDIVIDUAL,24,49,23,0,0,129,217,201,18,12,27,38,12,457,472,286,510,5,148,463,76,0,117,12,77,159,64,225,352,312,378,226,358,64,23,125,178,1,7,291,318,316,444,230,65,20,95,42,2,82,1,28,186,224,40,272,400,0,58,371,539,6,13,40,289,308,365
DEL VALLE RESERVA FAMILIAR,18,13,29,0,0,92,89,86,6,8,8,36,15,88,86,106,118,1,68,131,70,117,0,14,69,102,48,117,119,112,123,88,114,35,24,37,36,0,0,20,31,121,103,74,61,27,68,30,0,71,0,3,96,112,12,113,142,0,55,100,122,0,0,11,80,121,109
DEL VALLE RESERVA INDIVIDUAL,4,2,1,0,0,4,5,5,3,2,4,3,1,8,12,9,12,0,10,16,4,12,14,0,3,10,7,8,14,15,21,12,9,3,0,0,1,0,0,1,10,16,13,7,7,0,5,2,0,12,0,3,11,14,2,15,15,0,3,12,19,0,1,2,9,12,7
DEL VALLE Y NADA FAMILIAR,26,13,16,0,0,348,423,468,76,59,3,293,191,310,356,453,456,22,413,444,61,77,69,3,0,503,207,513,502,380,482,76,83,31,15,137,212,7,0,7,23,65,49,66,52,26,74,30,1,65,0,43,454,487,12,412,522,28,205,447,447,0,66,143,277,343,391
DEL VALLE Y NADA INDIVIDUAL,25,31,24,0,0,1220,1333,1365,159,131,7,792,481,1256,1279,1515,1579,406,1479,1567,75,159,102,10,503,0,419,1510,1704,1298,1515,117,185,75,19,708,918,64,8,54,169,148,175,143,62,32,80,37,0,74,0,113,1059,1548,131,1503,1637,27,639,1501,1613,1,588,403,1287,1164,1234
