,ADES FRUTAL FAMILIAR,ADES FRUTAL INDIVIDUAL,ADES LÁCTEO FAMILIAR,ADES LÁCTEO INDIVIDUAL,CAFÉ BLAK INDIVIDUAL,CIEL AGUA PURIFICADA FAMILIAR,CIEL AGUA PURIFICADA INDIVIDUAL,CIEL EXPRIM INDIVIDUAL,CIEL MINERALIZADA FAMILIAR,CIEL MINERALIZADA INDIVIDUAL,CIEL MINI INDIVIDUAL,COCA-COLA CAFÉ INDIVIDUAL,COCA-COLA ENERGY INDIVIDUAL,COCA-COLA FAMILIAR,COCA-COLA INDIVIDUAL,COCA-COLA LIGHT FAMILIAR,COCA-COLA LIGHT INDIVIDUAL,COCA-COLA LIGHT SIN CAFEINA INDIVIDUAL,COCA-COLA SIN AZÚCAR FAMILIAR,COCA-COLA SIN AZÚCAR INDIVIDUAL,DEL VALLE FAMILIAR,DEL VALLE INDIVIDUAL,DEL VALLE RESERVA FAMILIAR,DEL VALLE RESERVA INDIVIDUAL,DEL VALLE Y NADA FAMILIAR,DEL VALLE Y NADA INDIVIDUAL,DELAWARE PUNCH INDIVIDUAL,FANTA FAMILIAR,FANTA INDIVIDUAL,FRESCA FAMILIAR,FRESCA INDIVIDUAL,FRUTSI INDIVIDUAL,FUZE TEA INDIVIDUAL,GLACÉAU INDIVIDUAL,ISOLITE INDIVIDUAL,JOYA FAMILIAR,JOYA INDIVIDUAL,MANZANA LIFT FAMILIAR,MANZANA LIFT INDIVIDUAL,MIXTOS FAMILIAR,MIXTOS INDIVIDUAL,MONSTER ENERGY INDIVIDUAL,POWERADE INDIVIDUAL,PULPY INDIVIDUAL,SANTA CLARA DESLACTOSADA FAMILIAR,SANTA CLARA DESLACTOSADA LIGHT FAMILIAR,SANTA CLARA ENTERA FAMILIAR,SANTA CLARA LIGHT FAMILIAR,SANTA CLARA SABORIZADA FAMILIAR,SANTA CLARA SABORIZADA INDIVIDUAL,SANTA CLARA SEMIDESCREMADA FAMILIAR,SENZAO INDIVIDUAL,SIDRAL MUNDET FAMILIAR,SIDRAL MUNDET INDIVIDUAL,SIERRAZUL AGUA PURIFICADA FAMILIAR,SPRITE FAMILIAR,SPRITE INDIVIDUAL,SPRITE SIN AZÚCAR FAMILIAR,SPRITE SIN AZÚCAR INDIVIDUAL,TOPO CHICO A.M. FAMILIAR,TOPO CHICO A.M. INDIVIDUAL,TOPO CHICO INDIVIDUAL,TOPO CHICO SANGRIA LIGHT INDIVIDUAL,TOPO CHICO SANGRÍA FAMILIAR,TOPO CHICO SANGRÍA INDIVIDUAL,VALLE FRUT FAMILIAR,VALLE FRUT INDIVIDUAL
MANZANA LIFT INDIVIDUAL,0,0,0,0,0,9,3,3,0,0,0,0,1,17,13,19,16,8,15,20,0,7,0,0,0,8,0,10,18,22,23,3,5,0,0,18,9,3,0,3,2,1,10,4,1,0,0,0,0,0,0,0,3,6,5,17,12,0,4,13,19,0,7,5,21,6,10
MIXTOS FAMILIAR,5,14,3,1,0,28,81,74,3,4,26,5,1,248,264,122,300,2,69,278,16,291,20,1,7,54,13,66,129,190,163,102,185,13,1,116,110,0,3,0,268,183,282,130,3,3,24,5,0,22,0,5,41,77,6,125,154,0,3,225,291,6,6,25,165,185,229
MIXTOS INDIVIDUAL,9,24,5,1,0,101,186,175,5,3,28,33,24,376,374,218,425,20,157,362,15,318,31,10,23,169,22,186,244,287,301,155,221,24,7,166,193,0,2,268,0,214,353,154,14,2,32,6,0,35,0,11,117,158,12,219,295,0,71,282,429,6,41,47,264,281,304
MONSTER ENERGY INDIVIDUAL,32,54,19,1,0,105,156,143,22,11,23,42,19,269,275,230,341,4,123,309,80,316,121,16,65,148,56,183,307,222,277,169,294,81,28,91,101,1,1,183,214,0,279,197,60,29,89,43,1,93,0,22,162,196,36,234,303,0,34,262,379,2,7,46,217,235,273
POWERADE INDIVIDUAL,41,41,23,1,0,127,227,189,12,10,32,40,18,428,483,275,511,8,142,487,55,444,103,13,49,175,54,218,348,290,362,243,379,58,25,167,165,2,10,282,353,279,0,246,62,30,91,42,0,94,1,22,181,241,48,275,380,0,49,376,572,6,8,53,308,337,421
PULPY INDIVIDUAL,22,14,20,1,0,81,112,135,18,7,25,29,10,218,249,184,286,3,116,246,69,230,74,7,66,143,43,137,210,202,239,140,216,51,29,109,119,1,4,130,154,197,246,0,37,20,69,27,0,60,0,13,143,139,26,186,241,0,41,209,289,2,8,38,176,229,232
SANTA CLARA DESLACTOSADA FAMILIAR,8,5,13,0,0,54,49,56,14,5,2,20,6,48,53,54,64,1,36,77,51,65,61,7,52,62,27,58,67,56,65,58,65,20,14,26,22,0,1,3,14,60,62,37,0,12,29,14,1,30,1,4,52,66,1,65,78,0,21,50,64,0,3,12,52,56,49
SANTA CLARA DESLACTOSADA LIGHT FAMILIAR,6,6,14,0,0,20,30,26,0,1,1,10,6,26,25,26,26,1,31,28,27,20,27,0,26,32,2,17,30,23,27,26,18,7,17,15,11,0,0,3,2,29,30,20,12,0,13,13,0,6,0,1,23,23,0,27,23,0,16,27,22,0,1,7,29,20,25
SANTA CLARA ENTERA FAMILIAR,13,11,20,0,0,58,68,66,11,9,4,19,9,74,86,82,102,2,64,104,68,95,68,5,74,80,34,80,97,76,106,72,82,32,22,28,34,0,0,24,32,89,91,69,29,13,0,22,1,47,1,7,83,83,4,91,93,0,27,89,104,1,5,19,75,91,88
SANTA CLARA LIGHT FAMILIAR,5,7,12,0,0,33,33,38,5,2,2,13,5,34,42,34,38,2,37,43,32,42,30,2,30,37,16,36,38,31,42,39,33,14,16,17,17,0,0,5,6,43,42,27,14,13,22,0,0,18,1,0,39,42,1,34,48,0,15,40,42,0,3,4,37,34,26
